plaqueId	category	key	value
addington-road	location	address	Near the route of the former colonization road, Highway 41 at Highway 7, Kaladar
addington-road	themes	theme	Communities
addington-road	themes	theme	Transportation systems and communications
adelaide-hunter-hoodless-1858-1910	details	title	Adelaide Hunter Hoodless 1858-1910
adelaide-hunter-hoodless-1858-1910	details	text	An ardent proponent of improved domestic and educational standards for women living in rural areas, Adelaide Hoodless organized the first Women's Institute in Canada at Stoney Creek in 1897.
adelaide-hunter-hoodless-1858-1910	location	region	Southwestern Ontario
adelaide-hunter-hoodless-1858-1910	location	county	County of Brant (District)
adelaide-hunter-hoodless-1858-1910	location	municipality	County of Brant
adelaide-hunter-hoodless-1858-1910	location	address	At her birthplace, now a museum, Blue Lake Road, off Highway 24, west of St. George
adelaide-hunter-hoodless-1858-1910	themes	theme	Education
adelaide-hunter-hoodless-1858-1910	themes	theme	Organizations
adelaide-hunter-hoodless-1858-1910	themes	theme	People
adelaide-hunter-hoodless-1858-1910	themes	theme	Women's history
admiral-sir-charles-edmund-kingsmill-1855-1935	details	title	Admiral Sir Charles Edmund Kingsmill 1855-1935
admiral-sir-charles-edmund-kingsmill-1855-1935	details	text	Admiral Sir Charles Edmund Kingsmill was the founder of the Canadian Navy. Born in Guelph, Ontario, he attended Upper Canada College and in 1869, entered the Royal Navy in Britain. In 1908, he returned to Canada to advise Prime Minister Sir Wilfrid Laurier on the creation of a Canadian navy. He served as the first director of the naval service from 1910-1920 and saw the new navy safely through a period of limited resources and political controversy, and the demands of the First World War. During the War, Kingsmill strengthened the command and intelligence gathering organizations, essential foundations for the future growth of the Canadian Navy. Throughout his service he encouraged and supported the training of young Canadian officers who would eventually lead Canada’s great naval efforts of the Second World War and early Cold War. Kingsmill was knighted by King George V in 1918. He died at his summer home near Portland and is buried here in Emmanuel Anglican Cemetery.
admiral-sir-charles-edmund-kingsmill-1855-1935	location	region	Eastern Ontario
admiral-sir-charles-edmund-kingsmill-1855-1935	location	county	United Counties of Leeds and Grenville
admiral-sir-charles-edmund-kingsmill-1855-1935	location	municipality	Township of Rideau Lakes
admiral-sir-charles-edmund-kingsmill-1855-1935	location	address	On Highway 15, about 600 metres (nearly 2,000 feet) northeast of the intersection of Highway 15 and Big Rideau Lake Road, southwest of Portland.
admiral-sir-charles-edmund-kingsmill-1855-1935	themes	theme	People
admiral-sir-charles-edmund-kingsmill-1855-1935	themes	theme	War and conflict
agnes-campbell-macphail-1890-1954	details	title	Agnes Campbell MacPhail 1890-1954
agnes-campbell-macphail-1890-1954	details	text	The first woman elected to the Canadian parliament, Agnes MacPhail was born near Hopeville. She championed many causes during her years in federal and provincial politics, particularly prison reform, improved health care, and rural cooperative movements.
agnes-campbell-macphail-1890-1954	location	region	Southwestern Ontario
agnes-campbell-macphail-1890-1954	location	county	County of Grey
agnes-campbell-macphail-1890-1954	location	municipality	Township of Southgate
agnes-campbell-macphail-1890-1954	location	address	At the entrance to Proton Community Park on Grey County Road 9 (Agnes Macphail Road), Hopeville – approximately 12 km north of Highway 89 in Proton Township
agnes-campbell-macphail-1890-1954	themes	theme	People
agnes-campbell-macphail-1890-1954	themes	theme	Politics and law
agnes-campbell-macphail-1890-1954	themes	theme	Women's history
ailsa-craig	details	title	Ailsa Craig
ailsa-craig	details	text	Named after a small Scottish island, Ailsa Craig prospered as a point of trade on the Grand Trunk Railway and by 1870 was the site of the largest cattle market west of London.
ailsa-craig	location	region	Southwestern Ontario
ailsa-craig	location	county	County of Middlesex
ailsa-craig	location	municipality	Municipality of North Middlesex
ailsa-craig	location	address	At the community centre, Highway 7 and Jameson Street, Ailsa Craig
ailsa-craig	themes	theme	Communities
ailsa-craig	themes	theme	Industry and trade
ailsa-craig	themes	theme	Transportation systems and communications
aimee-semple-mcpherson-1890-1944	details	title	Aimee Semple McPherson 1890-1944
aimee-semple-mcpherson-1890-1944	details	text	Born to a Methodist father and a Salvation Army mother in Salford, Aimee became the most famous evangelist and faith healer of her time. She made her headquarters in Los Angeles where she preached her message of Christian Love daily to thousands of listeners in the Angelus Temple.
aimee-semple-mcpherson-1890-1944	location	region	Southwestern Ontario
aimee-semple-mcpherson-1890-1944	location	county	County of Oxford
aimee-semple-mcpherson-1890-1944	location	municipality	Township of South-west Oxford
aimee-semple-mcpherson-1890-1944	location	address	Opposite Salford United Church, Salford. The village is located southwest of Woodstock, at County Road 46 and Highway 119
aimee-semple-mcpherson-1890-1944	themes	theme	People
aimee-semple-mcpherson-1890-1944	themes	theme	Religion
aimee-semple-mcpherson-1890-1944	themes	theme	Women's history
albert-carman-1833-1917	details	title	Albert Carman 1833-1917
albert-carman-1833-1917	details	text	Throughout his many careers as a teacher and principal at the Belleville Seminary, and as a minister and bishop of the Methodist Episcopal Church, Carman was a forceful and eloquent proponent of Methodist education. His influence in both religious and educational circles makes him a major figure in the history of Methodism in Canada.
albert-carman-1833-1917	location	region	Eastern Ontario
albert-carman-1833-1917	location	county	County of Hastings
albert-carman-1833-1917	location	municipality	City of Belleville
albert-carman-1833-1917	location	address	At 305 Church Street, Belleville
albert-carman-1833-1917	themes	theme	Education
albert-carman-1833-1917	themes	theme	People
albert-carman-1833-1917	themes	theme	Religion
albert-college	details	title	Albert College
albert-college	details	text	In 1866, the Belleville Seminary, which opened in 1857, was rechartered as Albert College, an affiliate of the University of Toronto. Five years later it became an independent, degree-granting institution.
albert-college	location	region	Eastern Ontario
albert-college	location	county	County of Hastings
albert-college	location	municipality	City of Belleville
albert-college	location	address	At College Hill United Church, 16 North Park Street, the original site of the college, Belleville
albert-college	themes	theme	Buildings and structures
albert-college	themes	theme	Religion
alderville-manual-labour-school	details	title	Alderville Manual Labour School
alderville-manual-labour-school	details	text	This school was established in 1839 by Wesleyan Methodist missionaries. It was designed to assimilate First Nations children into the Euro-Canadian society that was growing rapidly in Ontario. At the recommendation of Egerton Ryerson, Superintendent of Education for Upper Canada, similar facilities were established throughout the province.
alderville-manual-labour-school	location	region	Central Ontario
alderville-manual-labour-school	location	county	County of Northumberland
alderville-manual-labour-school	location	municipality	Alderville First Nation
alderville-manual-labour-school	location	address	On the grounds of the Band Administration Office of the Alderville First Nation, Highway 45, south of Roseneath
alderville-manual-labour-school	themes	theme	Buildings and structures
alderville-manual-labour-school	themes	theme	Education
alderville-manual-labour-school	themes	theme	First Nations
alderville-manual-labour-school	themes	theme	Religion
alexander-cameron-rutherford-1857-1941	details	title	Alexander Cameron Rutherford 1857-1941
alexander-cameron-rutherford-1857-1941	details	text	A native of Osgoode Township, Rutherford became premier, provincial treasurer, and minister of education in the first Alberta government following that province's formation in 1905. After his retirement from politics he served as chancellor of the University of Alberta from 1927 until his death.
alexander-cameron-rutherford-1857-1941	location	region	Ottawa
alexander-cameron-rutherford-1857-1941	location	county	City of Ottawa (District)
alexander-cameron-rutherford-1857-1941	location	municipality	City of Ottawa
alexander-cameron-rutherford-1857-1941	location	address	On the grounds of the Osgoode Township Museum, Highway 31, Vernon
alexander-cameron-rutherford-1857-1941	themes	theme	People
alexander-cameron-rutherford-1857-1941	themes	theme	Politics and law
alexander-morris-1826-1889	details	title	Alexander Morris 1826-1889
alexander-morris-1826-1889	details	text	Born in Perth, Morris spent most of his professional life in the political arena. A strong advocate of Confederation, he represented South Lanark in the federal legislature, served as lieutenant-governor of Manitoba and the North-West Territories, and in his later years was a member of the Ontario legislature.
alexander-morris-1826-1889	location	region	Eastern Ontario
alexander-morris-1826-1889	location	county	County of Lanark
alexander-morris-1826-1889	location	municipality	Town of Perth
alexander-morris-1826-1889	location	address	In Stewart Park, behind the town hall, 80 Gore Street East, Perth
alexander-morris-1826-1889	themes	theme	People
alexander-morris-1826-1889	themes	theme	Politics and law
allenford-pow-wow-1855	details	title	Allenford Pow-wow 1855, The
allenford-pow-wow-1855	details	text	A dispute over the terms of the 1854 Saugeen Treaty was resolved at a pow-wow of Ojibwa and government representatives held at Allenford. The boundary line was redefined along a traditional Ojibwa pathway, increasing slightly the acreage of the Saugeen Reserve.
allenford-pow-wow-1855	location	region	Southwestern Ontario
allenford-pow-wow-1855	location	county	County of Bruce
allenford-pow-wow-1855	location	municipality	Municipality of South Bruce
allenford-pow-wow-1855	location	address	Opposite St. Andrew's Presbyterian Church, Highway 21 west of Side Road 10, Allenford
allenford-pow-wow-1855	themes	theme	First Nations
allenford-pow-wow-1855	themes	theme	Politics and law
alligator-tug	details	title	Alligator Tug, The
alligator-tug	details	text	A boon to the flagging lumber industry in the late 19th century, the amphibious Alligator scow produced by West & Peachey of Simcoe was able to tow large log booms cheaply and efficiently from areas that were previously inaccessible.
alligator-tug	location	region	Southwestern Ontario
alligator-tug	location	county	County of Norfolk (District)
alligator-tug	location	municipality	County of Norfolk
alligator-tug	location	address	In Lynnwood Park, Norfolk Street North at Alligator Lane, Simcoe
alligator-tug	themes	theme	Industry and trade
alligator-tug	themes	theme	Transportation systems and communications
alma-college	details	title	Alma College
alma-college	details	text	This Methodist-sponsored ladies' college opened in 1881 with some 50 students, and within two years enrolment had more than tripled. The school offered matriculation for university entrance as well as courses in household science, commerce, and the fine arts.
alma-college	location	region	Southwestern Ontario
alma-college	location	county	County of Elgin
alma-college	location	municipality	City of St. Thomas
alma-college	location	address	At the former college, Moore and McIntyre Streets, St. Thomas
alma-college	themes	theme	Buildings and structures
alma-college	themes	theme	Education
alma-college	themes	theme	Women's history
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	details	title	Almanda Walker-Marchand et la Fédération des Femmes Canadiennes-Françaises
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	details	text	Almanda Walker-Marchand was the founder and president of the Fédération des femmes canadiennes-françaises (FFCF). Born in Quebec City in 1868, she moved with her family first to Montreal and then to Ottawa. Her last home overlooked this park. In 1914, days after the declaration of the First World War, Walker-Marchand encouraged a group of more than 400 French-Canadian women to form an organization dedicated to helping French-Canadian soldiers and their families both during and after the war. From 1918-45 they contributed to the relief of poverty, advancement of health and education and the promotion of francophone culture. During Walker-Marchand’s 32 years as its president, the FFCF expanded beyond Ottawa to form many chapters in francophone communities across Canada. In 1943, Walker-Marchand was made an officer of the Order of the British Empire. She died in 1949, but the group continued and evolved to champion the political, social and economic rights of francophone women throughout Canada. Celebrating its 100th anniversary in 2014, it is known today as the Alliance des femmes de la francophonie canadienne.
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	location	region	Ottawa
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	location	county	City of Ottawa (District)
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	location	municipality	City of Ottawa
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	location	address	By the walkway, at the central, east entrance to Strathcona Park in Ottawa (across from 50 Ridge Road).
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	themes	theme	Franco-Ontarian heritage
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	themes	theme	Organizations
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	themes	theme	War and conflict
almanda-walker-marchand-et-la-federation-des-femmes-canadiennes-francaises	themes	theme	Women's history
andrew-edward-mckeever-1895-1919	details	title	Andrew Edward McKeever 1895-1919
andrew-edward-mckeever-1895-1919	details	text	During a seven-month period in the First World War, McKeever and his gunner shot down 30 enemy aircraft with his two-seater Bristol Fighter. His skill and gallantry earned the Listowel native the Military Cross and Bar, and the Distinguished Service Order.
andrew-edward-mckeever-1895-1919	location	region	Southwestern Ontario
andrew-edward-mckeever-1895-1919	location	county	County of Perth
andrew-edward-mckeever-1895-1919	location	municipality	Town of North Perth
andrew-edward-mckeever-1895-1919	location	address	In Cenotaph Park, Wallace Avenue North and Elizabeth Street East, Listowel
andrew-edward-mckeever-1895-1919	themes	theme	People
andrew-edward-mckeever-1895-1919	themes	theme	War and conflict
andrew-frederick-hunter-1863-1940	details	title	Andrew Frederick Hunter 1863-1940
andrew-frederick-hunter-1863-1940	details	text	A native of Innisfil Township, Hunter was an active member of the Canadian Institute and the Ontario Historical Society. He undertook extensive research on the history and archaeology of Huronia and his published writings did much to encourage the study of local history throughout the province.
andrew-frederick-hunter-1863-1940	location	region	Central Ontario
andrew-frederick-hunter-1863-1940	location	county	County of Simcoe
andrew-frederick-hunter-1863-1940	location	municipality	City of Barrie
andrew-frederick-hunter-1863-1940	location	address	At 37 Mulcaster Street, Barrie
andrew-frederick-hunter-1863-1940	themes	theme	Education
andrew-frederick-hunter-1863-1940	themes	theme	People
anishinaabeg-at-lake-of-bays-the	details	title	Anishinaabeg at Lake of Bays, The
anishinaabeg-at-lake-of-bays-the	details	text	A water-based people, the Anishinaabeg – the original people of this region – were a hunter-gatherer society that often travelled here to the narrows at Trading Bay (Lake of Bays). The area that is now Dorset was a special, spiritual place abundant in natural resources. For thousands of years the Anishinaabeg set up small camps here harvesting maple syrup and birch bark, fishing and trading in the spring and summer, and hunting and trapping during the fall and winter. Eventually, the Anishinaabeg realized that their hunting and harvesting rights and territory had been lost through a series of treaties. They continued to travel to the region to work as fishing and hunting guides and trading with seasonal tourists and cottagers. The descendants of the Anishinaabeg are members of the seven First Nations of the Williams Treaties (1923), the nearest of which is the Chippewas of Rama First Nation. The legacy of the original inhabitants lives on through the many landmarks, rivers, lakes, and islands that bear Anishinaabemowin (Ojibwe) place names.
anishinaabeg-at-lake-of-bays-the	location	region	Central Ontario
anishinaabeg-at-lake-of-bays-the	location	county	County of Haliburton
anishinaabeg-at-lake-of-bays-the	location	municipality	Township of Algonquin Highlands
anishinaabeg-at-lake-of-bays-the	location	address	Cedar Narrows Heritage Park in Dorset (at the Highway 39 bridge that spans the Dorset Narrows)
anishinaabeg-at-lake-of-bays-the	themes	theme	Agriculture
anishinaabeg-at-lake-of-bays-the	themes	theme	Archaeology
anishinaabeg-at-lake-of-bays-the	themes	theme	Communities
anishinaabeg-at-lake-of-bays-the	themes	theme	First Nations
anna-jameson-1794-1860	details	title	Anna Jameson 1794-1860
anna-jameson-1794-1860	details	text	Writer, traveller, and wife of Attorney-General Robert Jameson, Anna Jameson visited Canada in 1836-37. Her sharp-eyed impressions and lively adventures (which included shooting the rapids at the Sault) were later published in Winter Studies and Summer Rambles in Canada. The book is still in print.
anna-jameson-1794-1860	location	region	Northern Ontario
anna-jameson-1794-1860	location	county	District of Algoma
anna-jameson-1794-1860	location	municipality	City of Sault Ste. Marie
anna-jameson-1794-1860	location	address	St. Marys River Drive, west of the Delta Hotel, Sault Ste. Marie
anna-jameson-1794-1860	themes	theme	Arts and culture
anna-jameson-1794-1860	themes	theme	People
anna-jameson-1794-1860	themes	theme	Women's history
aqua-plano-indians-of-upper-great-lakes	details	title	Aqua-Plano Indians of the Upper Great Lakes, The
aqua-plano-indians-of-upper-great-lakes	details	text	In 1950, archaeologists uncovered evidence of a workshop used by the earliest known inhabitants of the upper Great Lakes basin. It is likely that these people appeared about 9,000 years ago following the retreat of glaciers and the northward spread of plant and animal life.
aqua-plano-indians-of-upper-great-lakes	location	region	Northern Ontario
aqua-plano-indians-of-upper-great-lakes	location	county	District of Thunder Bay
aqua-plano-indians-of-upper-great-lakes	location	municipality	Township of Shuniah
aqua-plano-indians-of-upper-great-lakes	location	address	At Boegh Park, a picnic area on Highway 587 near Pass Lake - about 32 km east of Thunder Bay
aqua-plano-indians-of-upper-great-lakes	themes	theme	Archaeology
aqua-plano-indians-of-upper-great-lakes	themes	theme	Communities
aqua-plano-indians-of-upper-great-lakes	themes	theme	First Nations
archives-of-ontario	details	title	Archives of Ontario, The
archives-of-ontario	details	text	In response to public demand the Ontario government established a provincial archives in 1903. Under the direction of Alexander Fraser, provincial archivist from 1903 to 1935, a comprehensive acquisition program was undertaken as well as the annual publication of government reports.
archives-of-ontario	location	region	Greater Toronto Area
archives-of-ontario	location	county	City of Toronto (District)
archives-of-ontario	location	municipality	City of Toronto
archives-of-ontario	location	address	Inside main lobby of Archives building, York University Campus, 134 Ian Macdonald Blvd., Toronto
archives-of-ontario	themes	theme	Education
archives-of-ontario	themes	theme	Politics and law
arctic-watershed689	details	title	Arctic Watershed, The
arctic-watershed689	details	text	Winding an erratic course of some 2,240 kilometres across Ontario, the height of land, or watershed, figured prominently in several boundary disputes during the 19th century.
arctic-watershed689	location	region	Northern Ontario
arctic-watershed689	location	county	District of Thunder Bay
arctic-watershed689	location	municipality	Raith
arctic-watershed689	location	address	On Highway 17, where the watershed crosses the thoroughfare, near Raith - northwest of Thunder Bay
arctic-watershed689	themes	theme	Environment
arctic-watershed698	details	title	Arctic Watershed, The
arctic-watershed698	details	text	Winding an erratic course of some 2,240 kilometres across Ontario, the height of land, or watershed, figured prominently in several boundary disputes during the 19th century.
arctic-watershed698	location	region	Northern Ontario
arctic-watershed698	location	county	District of Timiskaming
arctic-watershed698	location	municipality	Kenogami Lake
arctic-watershed698	location	address	On Highway 11 where the watershed crosses the thoroughfare, about 14 km northwest of Kenogami Lake
arctic-watershed698	themes	theme	Environment
armadale-free-methodist-church-1880	details	title	Armadale Free Methodist Church 1880, The
armadale-free-methodist-church-1880	details	text	Built largely by volunteer labour, this modest frame church is the oldest continuing Free Methodist place of worship in Canada. It serves the combined congregation of Ellesmere and Armadale.
armadale-free-methodist-church-1880	location	region	Greater Toronto Area
armadale-free-methodist-church-1880	location	county	City of Toronto (District)
armadale-free-methodist-church-1880	location	municipality	City of Toronto
armadale-free-methodist-church-1880	location	address	In front of the church, Passmore Avenue, west of Markham Road, Toronto
armadale-free-methodist-church-1880	themes	theme	Buildings and structures
armadale-free-methodist-church-1880	themes	theme	Religion
asa-turner	details	title	Asa Turner
asa-turner	details	text	An early Baptist missionary, Turner conducted services in pioneer homes, organized several congregations, and contributed substantially to the establishment of the Baptist Church in eastern Ontario during the early years of the 19th century.
asa-turner	location	region	Eastern Ontario
asa-turner	location	county	County of Hastings
asa-turner	location	municipality	Township of Stirling-Rawdon
asa-turner	location	address	On the grounds of Sidney Baptist Church, Baptist Church Road and Concession 8, off Highway 14, near Stirling
asa-turner	themes	theme	People
asa-turner	themes	theme	Religion
asa-wolverton-house	details	title	Asa Wolverton House, The
asa-wolverton-house	details	text	Built in the 1850s by prosperous lumber dealer and contractor Asa Wolverton, this house, with its adjoining storage wing and carriage-house, exemplifies a style of parallel construction popular in New England and the Maritimes, but rarely seen in Ontario.
asa-wolverton-house	location	region	Southwestern Ontario
asa-wolverton-house	location	county	County of Brant (District)
asa-wolverton-house	location	municipality	County of Brant
asa-wolverton-house	location	address	In front of the house, 52 Grand River Street South, Paris
asa-wolverton-house	themes	theme	Buildings and structures
asa-wolverton-house	themes	theme	Industry and trade
asa-wolverton-house	themes	theme	People
ashbridge-estate	details	title	Ashbridge Estate, The
ashbridge-estate	details	text	The Ashbridge family began farming here on a 600-acre Crown grant in the 1790s. Toronto suburbs began surrounding their land in the 1890s; by the 1920s they had sold all but the property around their home.
ashbridge-estate	location	region	Greater Toronto Area
ashbridge-estate	location	county	City of Toronto (District)
ashbridge-estate	location	municipality	City of Toronto
ashbridge-estate	location	address	At 1444 Queen Street East, Toronto
ashbridge-estate	themes	theme	Buildings and structures
ashbridge-estate	themes	theme	Communities
ashbridge-estate	themes	theme	People
associated-country-women-of-world	details	title	Associated Country Women of the World, The
associated-country-women-of-world	details	text	A nonsectarian, nonpolitical, international organization, the Associated Country Women of the World was formed in 1933 largely through the efforts of Margaret Watt, a native of Collingwood, who was elected the association's first president.
associated-country-women-of-world	location	region	Central Ontario
associated-country-women-of-world	location	county	County of Simcoe
associated-country-women-of-world	location	municipality	Town of Collingwood
associated-country-women-of-world	location	address	On the grounds of the Collingwood Museum, St. Paul Street, Collingwood
associated-country-women-of-world	themes	theme	Organizations
associated-country-women-of-world	themes	theme	Women's history
auld-kirk-1836	details	title	Auld Kirk 1836
auld-kirk-1836	details	text	Constructed by the local congregation of The Established Church of Scotland, Auld Kirk was attended by Presbyterian settlers from several neighbouring townships. The sturdy stone church still stands, a fitting memorial to its hardy founders.
auld-kirk-1836	location	region	Eastern Ontario
auld-kirk-1836	location	county	County of Lanark
auld-kirk-1836	location	municipality	Town of Mississippi Mills
auld-kirk-1836	location	address	On the grounds of the church, County Road 16, about 1 km west of Highway 15, Almonte
auld-kirk-1836	themes	theme	Buildings and structures
auld-kirk-1836	themes	theme	Religion
aurora-armoury	details	title	Aurora Armoury
aurora-armoury	details	text	Built in 1874 as a drill shed for the 12th Battalion of Infantry or York Rangers, the Aurora Armoury was part of a network of defence training facilities for citizen soldiers. It evokes the larger stories and traditions of the province’s militia regiments, recruited regionally, and possessing close affiliations with their communities of origin. The armoury was also the site of Edward Blake’s famous “Aurora speech” of 1874, in which the prominent politician and former Ontario premier called upon the federal government of Liberal Prime Minister Alexander Mackenzie to implement nationalistic and electoral reforms. The speech exemplifies how drill halls and armouries fulfil civic roles in the lives of their communities. This purpose-built armoury is one of the oldest in Ontario.
aurora-armoury	location	region	Greater Toronto Area
aurora-armoury	location	county	Regional Municipality of York
aurora-armoury	location	municipality	Town of Aurora
aurora-armoury	location	address	At the Aurora Armoury, 138 Larmont Street (at Mosely Street), Aurora.
aurora-armoury	themes	theme	Buildings and structures
aurora-armoury	themes	theme	War and conflict
aurora-public-school	details	title	Aurora Public School
aurora-public-school	details	text	In 1886, to accommodate an ever-growing student body, a two-storey white brick school was built in Aurora to replace the frame schoolhouse that had served the community until then. The new school was designed in the High Victorian manner with much detailing and decoration, and remains an excellent example of that architectural style.
aurora-public-school	location	region	Greater Toronto Area
aurora-public-school	location	county	Regional Municipality of York
aurora-public-school	location	municipality	Town of Aurora
aurora-public-school	location	address	At the former school building, now the Aurora Museum, 22 Church Street, Aurora
aurora-public-school	themes	theme	Buildings and structures
aurora-public-school	themes	theme	Education
austin-airways-1934-1987	details	title	Austin Airways 1934-1987
austin-airways-1934-1987	details	text	This pioneer aviation firm played a significant role in the economic development of northern Ontario. It flew mining executives to remote mine sites, fought forest fires, delivered freight and flew medical evacuations.
austin-airways-1934-1987	location	region	Northern Ontario
austin-airways-1934-1987	location	county	City of Greater Sudbury (District)
austin-airways-1934-1987	location	municipality	City of Greater Sudbury
austin-airways-1934-1987	location	address	Near the Aviation Monument at Science North, 100 Ramsay Lake Road, Sudbury
austin-airways-1934-1987	themes	theme	Industry and trade
austin-airways-1934-1987	themes	theme	Scientific and technological innovations
austin-airways-1934-1987	themes	theme	Transportation systems and communications
b-napier-simpson-jr-1925-1978	details	title	B. Napier Simpson, Jr. 1925-1978
b-napier-simpson-jr-1925-1978	details	text	A highly respected restoration architect in Ontario, Simpson devoted his professional life to raising public awareness of the importance of heritage conservation. Black Creek Pioneer Village in Toronto, Century Village near Peterborough, and the Historic Naval and Military Establishments at Penetanguishene are three of the many projects in which Simpson was involved.
b-napier-simpson-jr-1925-1978	location	region	Central Ontario
b-napier-simpson-jr-1925-1978	location	county	County of Haliburton
b-napier-simpson-jr-1925-1978	location	municipality	Township of Dysart et al
b-napier-simpson-jr-1925-1978	location	address	On the grounds of St. Peter's Anglican Church where his grave is located, Maple Lake
b-napier-simpson-jr-1925-1978	themes	theme	Buildings and structures
b-napier-simpson-jr-1925-1978	themes	theme	People
baldoon-settlement-1804-1818	details	title	Baldoon Settlement 1804-1818, The
baldoon-settlement-1804-1818	details	text	In 1804, 15 families from Scotland settled near the St. Clair River in a community sponsored by Lord Selkirk. Flooding, malaria and the War of 1812 took their toll and by 1818 the few settlers who remained had moved to higher ground.
baldoon-settlement-1804-1818	location	region	Southwestern Ontario
baldoon-settlement-1804-1818	location	county	Municipality of Chatham-Kent (District)
baldoon-settlement-1804-1818	location	municipality	Municipality of Chatham-Kent
baldoon-settlement-1804-1818	location	address	In MacDonald Park, Wallaceburg, off the St. Clair Parkway
baldoon-settlement-1804-1818	themes	theme	Communities
baldoon-settlement-1804-1818	themes	theme	War and conflict
balls-bridge	details	title	Ball's Bridge
